"REF_DATE","GEO","DGUID","Principal statistics","Seasonal adjustment","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","762810","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","793133","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","756980","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","781612","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","792620","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","626279","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Printing and related support activities [323]","Dollars","81","thousands","3","v800459","1.1.2.121","488397","","","","0"
"2019-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","5352513","","","","0"
"2019-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","5812470","","","","0"
"2019-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6285234","","","","0"
"2019-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6389205","","","","0"
"2019-05","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6478686","","","","0"
"2019-06","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6187316","","","","0"
"2019-07","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6174904","","","","0"
"2019-08","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6084231","","","","0"
"2019-09","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","5991582","","","","0"
"2019-10","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6317256","","","","0"
"2019-11","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6136211","","","","0"
"2019-12","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","6291810","","","","0"
"2020-01","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","5880442","","","","0"
"2020-02","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","5765898","","","","0"
"2020-03","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","3810351","","","","0"
"2020-04","Canada","2016A000011124","Sales of goods manufactured (shipments)","Seasonally adjusted","Petroleum and coal product manufacturing [324]","Dollars","81","thousands","3","v800460","1.1.2.130","2041303","","","","0"
